"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss32_14","-78.55","-0.64","0.89","1.4","0.7","1.24","2.73","1.94","-1.05","-3.21","-3.17","-2.55","-0.85","-0.62","-1.22","-1.87","-1.83","0.18","2.92","0.88","-1.54","-2.2","-1.5","0.81","2.1","3.61"
"length_rss32_15","-68.26","1.93","3.26","2.23","1.41","1.87","3.06","2.53","2.03","1.23","1.73","1.46","-0.34","-0.34","1.11","2.26","2.19","0.41","0.48","0.33","-2.15","-3.13","-4.9","-6.92","-7.42","-7.68"
"length_rss32_16","-58.16","3.58","1.31","-0.33","-1.61","-3.94","-2.77","-0.59","0.54","2.55","-1.33","-3.33","-4.4","-5.14","-4.29","-1.46","2.2","2.48","-0.36","-0.6","1.68","3.04","0.6","0.81","3.33","4.31"
"length_rss32_17","-59.05","-1.38","-0.76","-1.14","-1.48","-0.76","-1.37","-1.5","-2.83","-6.36","-6.51","-5.35","-5.99","-4.89","-2.8","-2.71","-2.59","-0.76","1.51","3.1","3.49","4.4","5.72","7.87","10.04","11.39"
"length_rss32_18","-64.12","-1.57","-0.58","0.62","-0.54","-0.6","-0.49","-0.66","-0.16","-0.28","-0.33","-0.71","-1.07","-0.11","-0.95","-0.59","-0.53","-1.1","-0.91","0.4","1.74","1.44","1.74","1.86","1.96","2.62"
"length_rss32_19","-81.2","-4.09","-4.93","-4.95","-3.98","-3.9","-2.89","-0.45","1.59","1.2","0.97","0.12","0.21","1.64","1.5","1.76","1.7","1.49","1.7","1.59","2.0","2.35","2.42","1.81","0.44","-0.55"
"length_rss32_20","-60.78","1.06","1.72","2.62","1.95","2.01","4.09","3.35","0.52","-2.7","-4.2","-3.38","-0.62","1.84","1.8","2.1","2.91","3.26","2.43","0.08","-1.58","-2.9","-3.67","-4.18","-4.02","-4.09"
"length_rss33_1","-77.18","2.76","3.65","2.86","1.84","2.44","-1.48","-2.18","-2.85","-3.07","-1.62","-2.88","-3.84","-2.52","-0.49","0.42","0.89","-0.12","-0.3","0.8","0.01","-0.84","0.56","1.65","1.69","1.7"
"length_rss33_2","-81.59","-2.85","-0.89","-0.14","-0.62","-0.72","-1.36","-1.7","-1.46","-1.46","-1.03","-0.49","0.14","-0.2","-0.26","-0.13","0.21","1.49","1.09","-0.65","-0.6","0.77","1.62","2.28","2.75","2.49"
"length_rss33_3","-86.14","-2.32","-2.05","-2.2","-1.44","-0.19","-0.54","-1.38","-1.34","-1.9","-2.0","-0.79","0.37","0.75","0.91","0.81","1.45","1.25","1.02","1.22","1.08","0.81","1.19","1.45","1.16","0.78"
"length_rss33_4","-85.04","1.1","0.76","1.56","2.16","0.72","0.82","1.58","1.75","1.33","0.53","0.18","-0.34","0.18","-0.75","-0.7","-0.51","-0.89","-1.06","-1.43","-1.27","-1.21","-0.96","-1.35","-1.82","-1.81"
"length_rss33_5","-81.89","0.46","-0.27","1.37","1.96","2.6","3.59","2.07","-0.8","-0.83","-0.74","-0.46","-1.28","-1.34","-1.67","-2.1","-1.61","-1.09","-1.14","-1.07","-0.26","-0.73","-1.08","-0.76","0.29","1.96"
"length_rss33_6","-87.67","-3.15","-2.6","-0.19","-0.13","-1.04","-2.24","-2.1","-0.84","0.86","1.9","1.2","0.93","2.09","1.08","0.77","1.5","0.95","-0.21","0.31","1.57","1.38","1.22","-0.5","-1.57","-2.95"
"length_rss33_7","-78.57","4.26","3.64","3.49","4.23","4.96","3.45","2.52","2.44","1.63","0.71","2.05","1.28","0.59","-0.86","-1.49","-0.9","-1.15","-5.59","-8.94","-5.79","-2.04","-2.4","-2.28","-2.3","-1.08"
"length_rss33_8","-71.71","-0.59","1.41","1.76","1.09","3.03","2.8","0.53","0.55","1.22","2.12","1.87","0.78","-0.48","-1.85","-2.65","-2.74","-2.99","-2.2","0.12","1.69","1.26","-1.51","-3.36","-2.75","-2.51"
"length_rss33_9","-73.88","-1.53","-2.97","-3.47","-2.53","-2.99","-3.42","-3.72","-6.09","-9.52","-8.74","-5.05","-3.62","-3.15","-2.86","-2.16","1.7","3.2","3.37","5.35","5.8","7.65","8.5","8.13","7.41","8.68"
"length_rss33_10","-74.77","-3.87","-4.32","-3.68","-3.42","-3.08","-1.06","0.46","0.31","-0.4","-0.02","0.26","0.12","0.25","0.41","0.72","1.99","1.05","1.38","1.1","1.26","1.62","2.66","2.38","0.79","0.23"
"length_rss33_11","-76.93","-0.96","-1.4","-4.13","-4.84","-2.77","-1.5","-2.33","-2.61","-1.51","-0.58","0.76","1.23","0.57","-0.93","-1.27","-0.72","0.28","0.78","0.9","1.78","2.64","1.01","1.29","4.28","6.82"
"length_rss33_12","-82.61","-0.47","0.9","1.04","0.16","0.32","0.11","-0.84","-0.77","-1.28","-0.37","-0.47","-1.33","-1.8","-1.53","-0.87","0.32","1.47","1.39","0.55","0.83","0.53","0.44","0.39","0.14","-0.52"
"length_rss33_13","-79.14","2.49","3.25","3.77","2.94","3.72","3.29","2.26","1.38","0.38","0.05","-0.21","-1.66","-1.43","-1.51","-1.62","-0.82","-0.26","-0.11","-0.59","-1.92","-2.72","-2.34","-1.64","-3.11","-4.49"
"length_rss33_14","-74.68","-2.36","0.17","2.45","2.55","-0.05","-1.37","-0.09","1.48","0.91","-0.75","-2.56","-3.47","-3.12","-0.17","1.48","1.71","1.67","1.24","-0.14","-0.85","-1.49","-1.05","-0.22","0.47","1.82"
"length_rss33_15","-66.7","1.17","4.15","3.13","0.55","-2.71","-2.78","-0.28","1.11","2.06","2.17","1.04","0.05","0.49","-1.96","-2.64","-2.01","-0.83","0.63","0.23","-1.03","0.46","0.43","0.19","-1.15","-3.51"
"length_rss33_16","-57.49","0.6","2.54","2.57","1.89","2.08","1.76","2.62","3.12","0.83","1.06","1.27","1.37","1.21","0.87","-0.35","-1.59","-1.04","-0.48","-1.55","-3.33","-4.67","-3.95","-3.51","-3.12","-2.55"
"length_rss33_17","-59.87","-9.45","-7.21","-6.65","-8.15","-7.96","-4.85","-1.97","-0.34","-0.4","-0.06","1.28","1.27","1.43","1.66","-1.87","-2.76","-1.34","1.16","4.9","6.5","6.55","5.39","5.94","6.23","7.28"
"length_rss33_18","-58.89","-0.29","-1.61","-1.36","-1.14","-0.57","-1.44","-0.9","-0.41","-0.82","-1.11","-0.83","0.34","0.74","0.5","-0.42","-0.49","0.09","0.63","2.04","2.55","0.99","0.83","0.9","1.03","0.87"
"length_rss33_19","-82.87","-1.83","-1.97","-2.89","-2.97","-2.98","-3.4","-3.27","-4.19","-2.95","-1.28","-1.85","-1.7","-0.74","0.12","1.51","1.92","1.7","2.23","3.02","3.69","4.2","4.27","3.32","3.03","2.83"
"length_rss33_20","-67.64","-5.43","-4.15","-1.99","-1.41","0.09","-2.19","-4.7","-4.89","-2.95","0.26","1.95","0.66","-0.5","-1.28","-2.5","-1.56","-1.03","-1.95","-1.26","0.7","6.05","6.85","5.98","6.36","7.55"
"length_rss34_1","-76.47","1.54","1.82","1.74","2.64","2.46","1.31","0.36","0.38","-1.25","-0.81","-0.59","-0.57","-1.79","-1.46","-0.4","-0.01","-0.38","-1.12","-0.02","-0.4","-1.73","-1.7","-0.9","-0.04","1.15"
"length_rss34_2","-80.99","-4.47","-3.79","-3.35","-3.13","-3.17","-3.17","-2.55","-1.93","-0.59","0.28","0.58","1.16","1.59","1.55","0.94","0.41","0.59","2.59","1.55","1.25","1.93","2.19","2.48","2.7","2.64"
"length_rss34_3","-84.31","-0.42","-0.9","-0.77","0.3","0.1","-0.73","-2.79","-3.31","-3.16","-3.04","-2.59","-2.06","-0.39","0.53","0.3","2.0","3.02","2.47","1.83","1.52","2.01","1.5","1.21","0.78","0.71"
"length_rss34_4","-85.07","1.17","0.88","1.04","-0.03","-0.35","0.51","0.79","1.5","1.89","0.19","-0.62","-1.03","-0.91","0.01","0.88","0.62","0.16","-0.27","-1.94","-2.81","-3.06","-2.53","-1.26","-0.87","-1.84"
"length_rss34_5","-80.03","0.83","1.48","1.99","1.0","0.99","0.91","-0.07","-0.15","0.67","1.32","0.9","0.62","0.17","-1.29","-1.27","-1.14","-1.35","-0.64","0.14","0.26","-1.35","-3.07","-3.07","-0.6","1.07"
"length_rss34_6","-87.17","-2.92","-1.09","-0.08","-0.28","-1.43","-1.77","-1.25","-0.65","0.73","1.8","2.15","1.94","1.71","1.02","0.81","0.37","0.08","0.43","0.73","0.51","0.7","0.18","-0.07","-1.03","-2.88"
"length_rss34_7","-78.78","6.08","4.76","4.34","3.12","2.26","2.21","2.05","2.47","1.95","2.01","0.02","0.02","0.76","-1.2","-2.69","-1.08","-1.36","-2.74","-4.29","-3.42","-1.13","-2.64","-5.31","-4.05","-3.27"
"length_rss34_8","-71.95","0.27","-0.21","3.55","0.43","-0.9","2.23","3.11","2.48","1.03","0.09","-0.35","-0.72","-0.71","0.04","-0.32","1.12","0.53","-0.34","-0.77","-1.56","-2.27","-2.41","-2.12","-2.58","-2.94"
"length_rss34_9","-75.16","-5.8","-2.08","-1.62","-4.68","-3.87","-2.07","-1.5","-3.76","-5.11","-2.08","-1.04","-2.46","-4.29","-4.85","-2.35","0.64","2.43","3.44","4.42","5.61","6.27","6.15","6.96","6.77","5.63"
"length_rss34_10","-74.29","-3.45","-3.68","-1.62","-1.72","-4.45","-4.53","-1.47","0.4","1.23","1.32","0.59","0.5","0.78","0.97","0.36","0.04","0.14","0.29","-0.27","-0.06","1.13","2.36","3.02","3.74","4.72"
"length_rss34_11","-79.77","-0.23","-2.19","-4.62","-5.31","-2.89","-1.48","0.4","0.21","-2.39","-2.72","-2.0","-0.49","0.31","1.14","2.08","3.1","3.74","3.18","1.86","0.66","1.27","0.3","0.42","1.54","2.03"
"length_rss34_12","-79.83","1.98","2.23","3.04","2.08","1.4","1.64","2.78","2.76","2.5","1.53","0.66","-0.23","-1.9","-1.12","-1.24","-1.66","-2.14","-1.9","-2.11","-2.85","-2.91","-2.7","-2.16","-2.67","-2.0"
"length_rss34_13","-75.03","1.69","1.08","0.46","-0.13","-0.07","-0.15","-0.23","-0.51","-0.54","-0.54","-0.65","-0.61","-0.66","-0.72","-1.34","-1.76","-1.42","-0.36","0.84","0.39","0.55","0.45","0.28","0.29","1.11"
"length_rss34_14","-78.28","-0.5","-3.76","-3.55","-1.29","1.83","-1.47","-3.75","-3.93","-2.08","1.53","0.75","0.51","1.94","4.03","2.51","0.6","-0.45","-0.72","-0.46","1.07","3.38","2.67","0.33","-1.07","-1.23"
"length_rss34_15","-67.44","0.35","-1.31","-0.44","1.14","1.53","3.49","3.53","1.99","1.05","2.6","4.0","3.86","3.24","0.84","-0.64","-1.8","-2.65","-3.72","-2.83","-1.17","-2.27","-1.59","-1.43","-3.84","-5.71"
"length_rss34_16","-61.57","0.56","1.77","-0.27","-0.08","1.48","0.61","-0.03","-0.56","-1.38","-0.54","2.02","0.94","0.38","-0.85","-0.27","-0.61","0.03","-0.93","-1.65","-1.55","-1.14","-0.42","-0.26","-0.83","-1.24"
"length_rss34_17","-62.4","-1.8","-4.3","-5.37","-3.91","-2.03","-1.97","-1.68","-1.97","-2.0","-0.88","-1.38","-2.28","-0.83","0.71","0.29","-0.41","-0.58","3.0","3.7","2.51","2.7","2.74","3.21","4.73","5.89"
"length_rss34_18","-63.97","-1.22","-1.93","-0.98","-0.64","-0.62","-1.3","-0.0","-0.77","-1.44","-0.91","-0.85","-1.07","-0.58","-0.64","0.17","1.12","0.68","0.61","0.62","0.97","0.98","1.6","2.14","1.08","1.67"
"length_rss34_19","-85.38","-2.52","-2.43","-1.94","-1.33","-1.65","-2.23","-3.14","-3.08","-2.93","-2.51","-1.9","-1.51","-0.4","0.81","0.7","-0.19","0.71","1.48","2.88","3.67","4.56","3.38","2.41","2.22","1.43"
"length_rss34_20","-68.57","-2.23","-0.83","1.54","3.27","2.01","1.34","1.26","-1.22","-3.45","-2.54","-1.42","-2.56","-3.16","-4.05","-5.11","-3.07","0.01","2.32","0.24","0.43","4.15","4.93","2.67","1.98","1.45"
"length_rss35_1","-77.28","1.1","0.69","1.02","0.05","-3.06","-3.45","-2.26","-2.83","-2.61","-1.16","-0.87","-2.34","-2.02","1.17","0.23","-0.11","-0.03","-0.97","-0.32","1.05","1.21","1.18","2.3","3.09","3.4"
"length_rss35_2","-81.94","-2.5","-2.58","-2.54","-1.23","-0.2","-0.24","0.75","-0.0","-0.02","0.88","1.41","-0.6","-2.17","-1.8","-1.0","-0.64","-0.16","0.8","1.58","1.9","1.59","1.49","1.33","0.98","1.68"
"length_rss35_3","-84.48","-1.6","-1.45","-1.08","-0.02","-0.53","-2.04","-1.95","-1.13","-2.05","-3.11","-1.88","0.78","1.16","0.44","0.19","1.07","1.97","1.59","1.04","0.92","0.39","1.0","1.84","2.48","1.35"
"length_rss35_4","-83.76","1.8","1.92","2.38","2.93","2.5","2.31","1.32","1.13","0.74","0.36","0.19","1.06","0.79","-0.83","-1.05","-2.0","-2.15","-2.39","-2.07","-1.69","-1.21","-1.48","-1.86","-1.76","-1.17"
"length_rss35_5","-80.08","1.19","0.98","0.92","1.1","0.69","-0.31","-0.55","-1.05","-0.82","-1.08","1.01","2.61","2.16","0.57","-1.45","-2.87","-2.62","-1.76","-1.21","-0.74","-0.25","2.4","0.81","-2.27","-1.4"
"length_rss35_6","-85.94","-2.07","-0.5","-0.82","-1.9","-2.36","-1.36","-1.09","-0.43","0.54","0.84","1.96","2.0","1.14","0.47","1.37","0.86","0.54","1.09","1.29","1.05","0.73","0.51","-1.73","-2.03","-1.41"
"length_rss35_7","-84.19","5.01","4.56","3.94","4.75","5.08","4.62","4.51","2.87","2.2","3.37","4.1","3.51","2.67","0.0","-2.12","-2.6","-2.29","-2.18","-3.8","-7.24","-6.97","-5.87","-6.24","-5.93","-5.67"
"length_rss35_8","-78.22","-0.17","1.04","2.01","3.1","3.09","1.98","1.54","0.14","-0.28","-1.25","-1.74","-1.81","-1.04","-0.16","-0.81","-0.79","1.28","0.76","-0.9","-1.77","-2.64","-2.7","-1.72","-0.42","1.13"
"length_rss35_9","-81.16","-3.85","-1.99","-2.64","-3.82","-4.66","-3.42","-0.6","-0.84","-1.13","-0.51","-2.17","-5.25","-7.6","-6.51","-2.22","0.17","0.37","0.91","2.69","4.86","6.03","7.42","8.16","8.42","8.27"
"length_rss35_10","-78.98","-4.37","-3.96","-3.25","-2.09","-2.49","-3.03","-3.04","-2.54","-1.84","-0.31","0.39","1.27","1.19","1.03","0.83","1.53","2.23","3.38","4.25","3.64","2.78","1.86","0.62","-0.19","-0.11"
"length_rss35_11","-83.47","-2.26","-1.54","-2.49","-3.13","-3.18","-0.81","1.15","1.4","1.71","2.56","2.02","-0.11","-1.95","-1.48","0.87","1.89","1.87","0.67","-0.71","-0.67","-0.1","0.78","1.35","0.53","0.42"
"length_rss35_12","-84.14","1.87","0.75","0.9","1.26","1.39","1.56","1.02","0.98","0.47","0.7","1.08","1.12","0.85","0.63","0.31","-0.32","0.09","-0.05","-0.3","-0.37","-1.17","-2.4","-3.39","-3.48","-3.97"
"length_rss35_13","-79.6","1.72","1.74","1.01","0.53","0.53","0.17","-0.27","-0.68","-0.8","-0.82","-0.99","-1.44","-1.24","-1.06","-0.99","-1.34","-0.97","0.43","0.53","0.44","0.88","1.37","0.42","-0.44","-0.12"
"length_rss35_14","-87.09","-0.52","-3.78","-5.13","-5.09","-4.23","-1.47","0.36","1.06","1.08","2.07","1.91","1.36","1.48","1.27","1.55","1.4","0.62","0.51","-0.38","-0.27","-0.94","-0.88","0.24","1.62","2.57"
"length_rss35_15","-73.65","1.03","1.84","2.23","1.86","-0.38","-2.33","-2.28","-0.04","-0.22","1.14","2.75","2.41","0.5","0.79","1.73","-0.57","-1.6","-1.0","-0.51","-2.15","-1.89","-0.2","-0.04","-1.11","-3.44"
"length_rss35_16","-68.0","-0.69","-0.48","-1.05","-0.93","0.25","1.41","1.36","0.62","0.96","1.24","1.51","0.76","0.71","1.86","1.55","0.51","0.04","0.56","-0.22","-1.29","-2.86","-2.31","-1.28","-2.01","-1.44"
"length_rss35_17","-69.63","-4.57","-5.09","-3.59","-2.52","-2.05","-1.28","-1.41","-1.73","-0.98","-0.42","0.33","0.1","-1.15","-1.2","-0.61","0.08","0.68","2.64","3.28","2.57","2.18","1.9","1.96","3.45","5.14"
"length_rss35_18","-62.38","0.34","1.46","0.63","-0.15","0.02","-0.68","-0.55","-0.58","0.15","-0.23","-0.2","-0.59","0.75","0.57","0.14","-0.27","-0.29","0.68","0.31","-0.98","-0.36","0.11","-0.51","-0.63","0.01"
"length_rss35_19","-84.8","-1.43","-1.28","-1.56","-3.19","-3.93","-3.96","-3.34","-1.4","-1.25","-1.96","-2.67","-2.24","-1.06","0.05","0.7","1.07","0.73","1.04","2.02","2.79","3.71","4.03","3.57","2.77","2.08"
"length_rss35_20","-67.72","-5.49","-0.71","-0.09","-0.6","-1.29","-0.8","-1.17","-3.44","-5.68","-7.05","-7.44","-5.88","-3.98","-2.34","-1.11","-0.01","1.9","3.99","5.59","6.57","5.36","5.12","5.56","6.22","7.03"
"length_rss36_1","-86.69","0.74","0.49","0.4","-0.56","0.53","1.38","-0.77","-1.77","-2.43","-1.26","-1.44","-1.25","1.27","0.38","-2.74","-1.92","-1.46","-1.51","-1.43","-1.42","0.24","1.58","0.81","0.05","-0.47"
"length_rss36_2","-90.69","-2.93","-0.57","-2.18","-0.88","1.15","1.47","2.33","0.87","0.82","1.68","0.24","-0.7","0.38","-1.79","-2.7","-1.88","-1.0","0.58","2.14","1.96","2.37","1.2","0.21","1.8","2.72"
"length_rss36_3","-93.21","-3.41","-2.71","-1.82","0.27","-3.07","-3.83","-2.21","-0.04","0.91","1.55","1.33","1.33","1.48","1.48","1.34","0.61","0.52","1.44","1.55","1.53","1.53","1.38","1.52","0.73","0.77"
"length_rss36_4","-92.41","2.25","1.8","1.85","2.31","2.33","2.13","2.27","1.4","0.79","1.86","2.03","2.11","2.02","0.97","-0.47","0.95","0.93","0.63","1.1","0.52","-1.67","-4.3","-4.95","-4.88","-5.27"
"length_rss36_5","-87.6","-0.61","-1.81","-1.79","-1.65","-2.16","-2.6","-2.26","-1.07","-0.1","1.44","3.41","3.32","2.88","4.06","3.34","2.36","3.99","2.74","0.69","-3.14","-3.88","-3.41","-2.61","-2.79","-3.23"
"length_rss36_6","-92.54","-1.01","-0.57","0.76","-0.04","-0.21","0.37","0.22","0.37","0.72","0.64","0.65","0.83","1.03","0.9","0.94","0.62","0.25","-0.36","-0.26","1.05","0.97","0.72","0.69","-0.37","-0.92"
"length_rss36_7","-82.6","3.04","2.97","4.11","4.98","4.52","4.72","3.44","2.86","3.74","3.1","3.13","3.04","1.62","-0.84","-1.18","-0.58","-1.25","-2.26","-4.35","-6.41","-6.25","-5.95","-6.71","-6.27","-5.92"
"length_rss36_8","-75.43","-1.57","0.32","0.19","-1.44","-1.42","-0.45","-1.74","-1.22","-0.94","-1.01","0.0","1.01","0.8","0.53","-0.35","1.86","1.63","1.33","1.59","1.89","0.6","-0.1","-1.04","-1.31","-0.94"
"length_rss36_9","-78.62","-2.82","-4.19","-4.66","-4.51","-5.02","-5.42","-7.03","-6.74","-3.43","-4.32","-4.17","-3.79","-4.97","-3.76","1.0","3.09","3.98","4.72","4.49","6.25","7.79","7.96","8.5","8.33","8.28"
"length_rss36_10","-75.73","-3.95","-2.96","-2.77","-4.58","-4.8","-3.64","-2.79","-1.41","-0.69","0.79","1.63","1.34","1.27","1.8","1.85","1.07","0.45","1.32","0.52","0.33","1.41","2.12","2.84","3.67","3.22"
"length_rss36_11","-80.86","-2.66","-2.13","-2.61","-2.84","-3.45","-2.88","-1.07","0.43","2.9","3.18","-0.53","-1.01","0.07","-0.06","0.42","1.1","0.91","0.99","1.45","1.43","0.24","0.3","0.54","1.07","1.19"
"length_rss36_12","-82.1","3.17","2.09","1.55","0.39","-0.79","-0.86","-1.17","-2.47","-2.61","-1.19","-0.6","0.03","0.49","1.81","1.18","0.83","0.21","-0.83","-1.75","-1.67","-1.1","-0.55","0.04","1.01","0.78"
"length_rss36_13","-78.84","0.27","-0.52","-0.24","0.51","1.21","0.64","-0.32","0.34","0.76","1.88","0.92","0.71","1.59","1.56","0.63","0.02","-1.28","-2.54","-3.04","-2.68","-2.14","-0.91","1.24","0.88","-1.33"
"length_rss36_14","-85.8","-4.06","-2.72","-0.95","1.34","0.29","-2.09","-2.63","-3.62","-3.47","-2.71","-1.89","-0.91","-1.18","-0.23","0.79","0.94","0.18","0.37","1.32","2.93","3.46","3.36","3.47","3.26","3.27"
"length_rss36_15","-72.97","0.83","1.39","2.83","3.98","3.89","3.4","2.53","-0.57","-2.8","-2.48","-1.4","0.58","0.98","-0.4","-1.71","-1.86","-0.8","-0.83","-1.37","-0.25","1.41","-0.73","-1.49","-2.62","-3.15"
"length_rss36_16","-66.65","-4.47","-1.88","-2.36","-1.46","-0.24","0.36","0.53","0.85","-0.04","0.3","0.75","2.17","1.42","0.2","0.85","1.23","-0.01","0.0","-0.45","-0.91","-0.82","-0.74","0.42","1.55","0.68"
"length_rss36_17","-68.55","-3.67","-3.83","-2.32","-2.1","-2.47","-1.03","-0.1","-1.02","-0.9","-0.87","-1.37","-1.95","-2.48","-3.49","-4.44","-4.82","-2.17","1.92","3.57","3.68","5.1","6.11","5.98","5.33","5.1"
"length_rss36_18","-56.06","0.85","0.76","0.76","-0.6","-1.65","-0.53","0.67","0.22","-0.17","-0.02","0.25","0.21","0.75","0.16","-1.3","-1.74","-1.63","-0.43","0.34","-1.23","-1.68","-0.83","0.77","1.91","2.57"
"length_rss36_19","-86.78","-0.67","-0.11","0.39","-0.48","-0.93","-2.04","-2.93","-2.64","-1.15","-0.44","-0.88","-0.54","-0.39","-0.48","0.25","-0.05","0.14","1.1","1.32","0.8","0.1","0.15","0.44","1.0","1.86"
"length_rss36_20","-70.89","0.35","1.81","1.66","1.23","2.22","2.36","-0.68","-1.21","0.46","1.09","-1.86","-3.67","-4.17","-3.1","-1.16","0.11","1.49","0.68","-1.71","-2.35","-2.41","-1.58","1.18","4.2","4.82"
"length_rss37_1","-66.51","-0.47","2.41","1.5","-1.65","-0.57","0.48","-0.74","-2.27","-2.24","-1.24","0.88","1.74","-0.76","-0.14","0.18","0.72","1.9","3.89","3.55","0.99","-1.19","-2.27","-2.74","-2.09","-1.59"
"length_rss37_2","-67.52","1.44","1.09","1.25","1.33","0.47","-0.88","-2.85","-3.23","-1.46","0.44","1.72","-0.42","-2.22","-2.08","-0.96","1.46","3.33","1.84","0.16","0.27","0.08","0.41","-0.99","-2.34","-0.89"
"length_rss37_3","-69.48","-2.16","-2.36","-3.2","-1.24","-2.45","-3.47","-2.47","-2.46","-1.82","0.26","2.22","1.1","-0.75","0.16","1.98","1.86","2.73","2.72","2.78","2.86","2.69","1.16","-1.0","-1.17","1.04"
"length_rss37_4","-68.08","1.51","0.99","0.39","0.88","0.74","1.53","-0.47","-0.63","-0.75","-1.65","-2.3","-2.51","-2.39","-2.02","-2.67","-2.01","-1.62","-1.56","-1.07","-0.02","1.16","2.36","3.25","2.9","2.74"
"length_rss37_5","-68.86","1.38","-0.51","-2.32","-1.36","-0.24","0.49","1.43","2.33","1.16","-1.02","-0.23","0.88","-0.94","-1.06","-0.87","-0.64","0.67","1.51","-2.54","-0.84","-0.34","-2.43","-0.4","1.91","0.87"
"length_rss37_6","-70.43","-2.45","-1.08","-0.57","-1.52","-2.72","-0.6","1.08","-0.2","-1.5","-0.48","0.98","1.57","2.22","1.98","0.8","-1.01","-0.21","2.02","2.11","2.95","2.86","0.51","-1.79","-3.04","-1.84"
"length_rss37_7","-69.77","-2.38","-2.17","0.61","4.59","2.74","1.68","0.85","0.19","-0.29","-1.75","-2.71","-1.95","-0.23","-0.61","-1.05","-0.55","-1.09","-1.97","-0.56","0.12","1.32","1.32","1.45","1.41","1.16"
"length_rss37_8","-69.49","0.44","-1.2","-2.13","-1.8","-1.36","-0.75","-0.92","-0.01","-0.14","0.44","0.8","1.72","1.53","1.17","0.32","0.65","0.28","-0.89","-1.84","-1.32","-0.81","-0.25","1.11","0.7","-0.09"
"length_rss37_9","-68.74","0.14","-0.07","1.01","0.16","0.59","-0.35","0.16","-0.41","-0.11","-0.16","-0.21","-0.67","1.32","0.57","-0.28","-0.14","1.31","-0.45","-1.53","-1.45","-2.15","-3.15","-0.96","1.38","3.42"
"length_rss37_10","-76.83","-0.97","-1.69","-1.53","-1.91","-1.37","-1.69","-2.3","-2.0","-1.02","-0.24","0.48","0.06","-0.96","-1.37","0.18","0.37","0.49","0.52","-0.53","-0.14","0.71","1.18","2.19","2.86","3.77"
"length_rss37_11","-80.3","1.07","-0.72","-1.35","-1.74","-0.77","-1.41","-2.6","-2.03","0.47","1.09","1.78","1.6","-0.86","-1.37","-2.23","-2.39","-2.39","-1.56","-0.6","0.6","0.8","1.77","2.69","2.93","2.98"
"length_rss37_12","-84.92","0.77","0.43","0.6","0.07","-0.08","-0.48","-0.9","-0.76","-1.69","-1.49","-1.1","-0.83","0.55","0.08","-0.73","-0.5","-0.37","-0.33","-0.72","0.21","0.36","0.48","0.83","0.5","0.79"
"length_rss37_13","-83.65","1.91","1.7","2.59","3.29","2.77","1.6","1.27","1.84","1.5","0.71","-0.38","-0.16","0.49","0.72","0.46","0.52","-0.33","-0.9","-0.86","-0.85","-1.89","-3.47","-4.79","-5.25","-5.53"
"length_rss37_14","-81.88","-2.79","-4.54","-4.68","-3.24","1.45","2.57","1.09","0.3","-0.19","-1.16","-2.76","-3.69","-2.89","-2.26","-1.25","-0.28","1.3","0.98","1.89","2.22","2.32","2.64","4.19","4.75","4.62"
"length_rss37_15","-65.73","3.11","3.04","2.09","1.11","1.88","1.69","1.84","1.42","1.83","1.77","2.79","0.8","-0.91","-0.86","-0.59","-1.51","-1.72","0.05","-1.25","-2.18","-2.8","-2.45","-4.17","-4.45","-3.65"
"length_rss37_16","-56.36","2.11","2.46","3.69","4.24","3.48","2.53","1.81","0.68","-1.29","0.72","0.09","-1.64","-2.09","-2.04","-1.63","-2.85","-2.5","-2.39","-2.45","-2.7","-2.69","-0.68","-1.1","0.35","2.55"
"length_rss37_17","-57.52","-0.81","-0.9","-2.51","-4.76","-5.65","-4.0","-3.64","-5.53","-5.82","-5.49","-3.71","-1.47","-0.33","1.04","1.9","3.53","3.49","2.97","2.06","2.2","3.45","4.19","4.69","7.15","8.84"
"length_rss37_18","-60.63","-4.14","-3.59","-3.35","-3.99","-1.97","0.03","-0.56","-1.5","-1.61","-0.63","0.96","1.7","1.32","1.1","-0.18","-0.38","1.5","1.19","1.2","1.82","2.77","2.38","2.14","1.52","1.42"
"length_rss37_19","-85.02","-1.27","-1.42","-1.74","-1.71","-2.33","-2.57","-3.19","-3.79","-3.92","-3.71","-2.99","-2.45","-1.12","-0.36","0.35","0.71","0.88","1.08","2.22","3.1","4.31","4.44","4.9","2.25","2.48"
"length_rss37_20","-56.17","4.93","4.22","3.66","3.69","1.49","1.37","0.9","0.52","1.48","1.69","1.14","0.37","0.72","-0.22","-2.09","-2.49","-0.43","0.12","-0.35","-1.59","-1.84","-2.95","-3.35","-4.22","-5.94"
"length_rss38_1","-66.31","0.07","-0.14","0.15","-0.06","1.44","3.03","2.48","0.98","-0.49","0.08","1.99","2.95","0.91","0.61","-0.71","-1.37","-0.65","-0.55","-1.5","-1.78","-2.96","-2.12","0.07","-2.55","-2.9"
"length_rss38_2","-68.7","-4.06","-6.05","-4.82","-1.81","-1.58","0.26","1.28","-2.69","-4.98","-3.04","-0.26","-0.47","-1.56","-0.29","0.7","0.57","-1.0","1.07","3.92","3.03","2.85","4.02","4.65","3.76","3.67"
