"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss27_17","-67.33","6.15","5.5","4.15","3.2","3.47","3.43","3.93","3.49","3.6","3.52","2.08","0.67","-0.42","-0.63","-1.34","-1.03","-1.02","-2.55","-3.63","-3.95","-3.63","-3.02","-4.83","-7.82","-8.95"
"length_rss27_18","-73.84","-1.24","-2.89","-1.33","-0.9","-0.86","-0.8","-2.02","-1.86","-2.83","-2.14","-1.46","-0.64","-0.76","0.51","1.23","0.98","1.95","3.22","2.81","2.72","2.04","1.49","0.73","0.22","-0.81"
"length_rss27_19","-73.27","-1.27","-0.76","-0.16","-0.1","-2.08","-1.11","-0.45","-0.8","-1.11","-2.04","-3.25","-3.84","-4.63","-3.91","-2.86","-0.15","1.82","3.62","3.08","2.23","2.67","2.38","2.74","2.0","2.93"
"length_rss27_20","-69.03","-4.25","-1.46","-0.6","-2.01","-4.57","-5.22","-4.0","-2.0","-0.04","1.16","2.56","2.91","3.36","2.17","2.22","2.81","3.14","3.05","0.74","0.36","-1.2","-2.31","-0.37","1.65","0.13"
"length_rss28_1","-64.79","-1.84","-0.07","-1.48","-4.14","-6.48","-7.51","-6.92","-4.83","-1.24","0.08","-0.62","-0.87","0.85","1.32","2.54","4.04","3.67","2.16","2.44","1.98","1.8","2.15","2.37","3.17","5.09"
"length_rss28_2","-69.07","-0.62","-1.25","0.32","1.36","1.27","0.5","-0.45","-2.18","-2.57","-2.16","-1.87","-1.77","-1.34","-0.22","0.37","1.43","2.28","1.87","1.65","0.72","0.33","0.41","0.36","0.44","1.1"
"length_rss28_3","-73.58","-1.77","-1.89","-0.54","2.22","1.14","-0.65","-0.82","-1.17","-0.96","-0.52","-1.01","-0.74","-0.23","-0.19","-0.12","0.45","1.24","1.57","0.99","0.14","0.12","0.59","0.48","0.56","-0.97"
"length_rss28_4","-69.55","5.15","3.49","3.22","3.66","3.1","3.0","3.91","4.17","4.9","4.49","1.7","0.76","0.48","-0.83","-1.9","-2.71","-3.97","-4.78","-4.94","-4.24","-3.66","-2.96","-3.86","-4.82","-4.95"
"length_rss28_5","-66.63","-0.42","0.07","0.02","0.03","0.55","2.32","2.35","3.27","5.41","3.51","3.53","3.87","1.23","-0.03","-0.62","-0.92","-1.36","-0.5","-0.95","-0.95","-1.67","-2.57","-1.88","-4.14","-9.97"
"length_rss28_6","-71.79","-3.24","-1.37","0.63","0.68","0.95","1.75","0.7","0.7","1.34","1.39","2.08","3.04","1.99","1.67","1.88","1.99","0.39","-1.52","-1.22","-1.22","-0.98","-0.87","-1.79","-4.21","-5.34"
